annee,adresse,nb_logements,dept,conso_totale_kwh,conso_par_logement_kwh,code_iris,nom_commune,lat,lon,score,ban_id,classe_dpe_modale,nb_dpe,surface_med,pct_elec_chauffage,conso_5_usages_par_m2_med,conso_reelle_par_m2,conso_estimee_med,ecart_estime_vs_reel,ecart_pct
2019,1 RUE DE L ANNAPURNA,16,92.0,31577.0,1973.5625,920020306,Antony,48.736344,2.284967,0.9638545454545454,92002_0093_00001,C,1,117.7,0.0,119.7,16.767735768903993,14088.69,12115.1275,613.9
2021,1 RUE DE L ANNAPURNA,16,92.0,32515.0,2032.1875,920020306,Antony,48.736344,2.284967,0.9638545454545454,92002_0093_00001,C,1,117.7,0.0,119.7,17.265824129141887,14088.69,12056.5025,593.3
2019,20 AVENUE DE LA PROVIDENCE,20,92.0,79825.0,3991.25,920020106,Antony,48.756726,2.30404,0.9698618181818182,92002_7285_00020,D,1,45.7,100.0,131.4,87.33588621444201,6004.9800000000005,2013.7300000000005,50.5
2021,20 AVENUE DE LA PROVIDENCE,21,92.0,89295.0,4252.142857142857,920020107,Antony,48.756726,2.30404,0.9698618181818182,92002_7285_00020,D,1,45.7,100.0,131.4,93.04470146920912,6004.9800000000005,1752.8371428571436,41.2
2019,17 RUE DES MORTEAUX,18,92.0,67533.0,3751.8333333333335,920020105,Antony,48.760296,2.306185,0.9701554545454546,92002_6246_00017,E,1,26.2,100.0,173.8,143.1997455470738,4553.56,801.7266666666669,21.4
2021,17 RUE DES MORTEAUX,18,92.0,64331.0,3573.9444444444443,920020105,Antony,48.760296,2.306185,0.9701554545454546,92002_6246_00017,E,1,26.2,100.0,173.8,136.41009329940627,4553.56,979.615555555556,27.4
2019,4 PARVIS DU BREUIL,88,92.0,169399.0,1924.9886363636365,920020302,Antony,48.741732,2.28177,0.9625463636363636,92002_b060_00004,B,1,83.2,0.0,96.0,23.1368826486014,7987.200000000001,6062.211363636365,314.9
2020,1 RUE DE L ANNAPURNA,16,92.0,32975.0,2060.9375,920020306,Antony,48.736344,2.284967,0.9638545454545454,92002_0093_00001,C,1,117.7,0.0,119.7,17.510089209855565,14088.69,12027.7525,583.6
2021,4 PARVIS DU BREUIL,85,92.0,164815.0,1939.0,920020302,Antony,48.741732,2.28177,0.9625463636363636,92002_b060_00004,B,1,83.2,0.0,96.0,23.30528846153846,7987.200000000001,6048.200000000001,311.9
2020,20 AVENUE DE LA PROVIDENCE,19,92.0,66018.0,3474.6315789473683,920020106,Antony,48.756726,2.30404,0.9698618181818182,92002_7285_00020,D,1,45.7,100.0,131.4,76.03132557871703,6004.9800000000005,2530.348421052632,72.8
2019,42 RUE MAURICE LABROUSSE,15,92.0,112801.0,7520.066666666667,920020101,Antony,48.755536,2.296146,0.966711818181818,92002_6193_00042,C,1,35.2,100.0,96.7,213.63825757575756,3403.8400000000006,-4116.226666666666,-54.7
2020,17 RUE DES MORTEAUX,18,92.0,58234.0,3235.222222222222,920020105,Antony,48.760296,2.306185,0.9701554545454546,92002_6246_00017,E,1,26.2,100.0,173.8,123.48176420695505,4553.56,1318.3377777777782,40.7
2019,36 RUE PROSPER LEGOUTE,17,92.0,67482.0,3969.529411764706,920020401,Antony,48.746963,2.293764,0.9734463636363636,92002_7270_00036,E,1,22.8,100.0,173.5,174.10216718266253,3955.8,-13.729411764705674,-0.3
2021,42 RUE MAURICE LABROUSSE,15,92.0,120300.0,8020.0,920020101,Antony,48.755536,2.296146,0.966711818181818,92002_6193_00042,C,1,35.2,100.0,96.7,227.84090909090907,3403.8400000000006,-4616.16,-57.6
2019,51 AVENUE RAYMOND ARON,26,92.0,27977.0,1076.0384615384614,920020104,Antony,48.768724,2.310813,0.9726990909090908,92002_8133_00051,G,1,20.7,0.0,507.5,51.98253437383872,10505.25,9429.211538461539,876.3
2020,4 PARVIS DU BREUIL,85,92.0,169419.0,1993.164705882353,920020302,Antony,48.741732,2.28177,0.9625463636363636,92002_b060_00004,B,1,83.2,0.0,96.0,23.956306561085974,7987.200000000001,5994.035294117648,300.7
2021,36 RUE PROSPER LEGOUTE,16,92.0,72646.0,4540.375,920020401,Antony,48.746963,2.293764,0.9734463636363636,92002_7270_00036,E,1,22.8,100.0,173.5,199.1392543859649,3955.8,-584.5749999999998,-12.9
2021,51 AVENUE RAYMOND ARON,26,92.0,31794.0,1222.8461538461538,920020104,Antony,48.768724,2.310813,0.9726990909090908,92002_8133_00051,G,1,20.7,0.0,507.5,59.07469342251951,10505.25,9282.403846153846,759.1
2022,1 RUE DE L ANNAPURNA,16,92.0,34074.0,2129.625,920020306,Antony,48.736344,2.284967,0.9638545454545454,92002_0093_00001,C,1,117.7,0.0,119.7,18.093670348343245,14088.69,11959.065,561.6
2022,20 AVENUE DE LA PROVIDENCE,20,92.0,69017.0,3450.85,920020107,Antony,48.756726,2.30404,0.9698618181818182,92002_7285_00020,D,1,45.7,100.0,131.4,75.5109409190372,6004.9800000000005,2554.1300000000006,74.0
2023,1 RUE DE L ANNAPURNA,16,92.0,35276.0,2204.75,920020306,Antony,48.736344,2.284967,0.9638545454545454,92002_0093_00001,C,1,117.7,0.0,119.7,18.731945624468988,14088.69,11883.94,539.0
2020,42 RUE MAURICE LABROUSSE,15,92.0,106483.0,7098.866666666667,920020101,Antony,48.755536,2.296146,0.966711818181818,92002_6193_00042,C,1,35.2,100.0,96.7,201.67234848484847,3403.8400000000006,-3695.026666666666,-52.1
2022,17 RUE DES MORTEAUX,18,92.0,58536.0,3252.0,920020105,Antony,48.760296,2.306185,0.9701554545454546,92002_6246_00017,E,1,26.2,100.0,173.8,124.12213740458016,4553.56,1301.5600000000004,40.0
2020,36 RUE PROSPER LEGOUTE,16,92.0,66187.0,4136.6875,920020401,Antony,48.746963,2.293764,0.9734463636363636,92002_7270_00036,E,1,22.8,100.0,173.5,181.43366228070175,3955.8,-180.88749999999982,-4.4
2020,51 AVENUE RAYMOND ARON,26,92.0,29165.0,1121.7307692307693,920020104,Antony,48.768724,2.310813,0.9726990909090908,92002_8133_00051,G,1,20.7,0.0,507.5,54.1898922333705,10505.25,9383.51923076923,836.5
2022,4 PARVIS DU BREUIL,86,92.0,151747.0,1764.5,920020302,Antony,48.741732,2.28177,0.9625463636363636,92002_b060_00004,B,1,83.2,0.0,96.0,21.20793269230769,7987.200000000001,6222.700000000001,352.7
2023,20 AVENUE DE LA PROVIDENCE,20,92.0,67909.0,3395.45,920020107,Antony,48.756726,2.30404,0.9698618181818182,92002_7285_00020,D,1,45.7,100.0,131.4,74.29868708971553,6004.9800000000005,2609.5300000000007,76.9
2023,17 RUE DES MORTEAUX,18,92.0,52600.0,2922.222222222222,920020105,Antony,48.760296,2.306185,0.9701554545454546,92002_6246_00017,E,1,26.2,100.0,173.8,111.53519932145886,4553.56,1631.3377777777782,55.8
2023,4 PARVIS DU BREUIL,85,92.0,144149.0,1695.870588235294,920020302,Antony,48.741732,2.28177,0.9625463636363636,92002_b060_00004,B,1,83.2,0.0,96.0,20.38305995475113,7987.200000000001,6291.3294117647065,371.0
2022,42 RUE MAURICE LABROUSSE,15,92.0,95529.0,6368.6,920020101,Antony,48.755536,2.296146,0.966711818181818,92002_6193_00042,C,1,35.2,100.0,96.7,180.92613636363635,3403.8400000000006,-2964.7599999999998,-46.6
2022,36 RUE PROSPER LEGOUTE,16,92.0,65169.0,4073.0625,920020401,Antony,48.746963,2.293764,0.9734463636363636,92002_7270_00036,E,1,22.8,100.0,173.5,178.64309210526315,3955.8,-117.26249999999982,-2.9
2022,51 AVENUE RAYMOND ARON,27,92.0,27538.0,1019.925925925926,920020104,Antony,48.768724,2.310813,0.9726990909090908,92002_8133_00051,G,1,20.7,0.0,507.5,49.271783861155846,10505.25,9485.324074074075,930.0
2023,42 RUE MAURICE LABROUSSE,15,92.0,95489.0,6365.933333333333,920020101,Antony,48.755536,2.296146,0.966711818181818,92002_6193_00042,C,1,35.2,100.0,96.7,180.85037878787878,3403.8400000000006,-2962.093333333333,-46.5
2023,36 RUE PROSPER LEGOUTE,16,92.0,61495.0,3843.4375,920020401,Antony,48.746963,2.293764,0.9734463636363636,92002_7270_00036,E,1,22.8,100.0,173.5,168.5718201754386,3955.8,112.36250000000018,2.9
2023,51 AVENUE RAYMOND ARON,26,92.0,24786.0,953.3076923076924,920020104,Antony,48.768724,2.310813,0.9726990909090908,92002_8133_00051,G,1,20.7,0.0,507.5,46.05351170568562,10505.25,9551.942307692309,1002.0
2024,1 RUE DE L ANNAPURNA,16,92.0,35064.0,2191.5,920020306,Antony,48.736344,2.284967,0.9638545454545454,92002_0093_00001,C,1,117.7,0.0,119.7,18.619371282922685,14088.69,11897.19,542.9
2024,20 AVENUE DE LA PROVIDENCE,21,92.0,65704.0,3128.7619047619046,920020107,Antony,48.756726,2.30404,0.9698618181818182,92002_7285_00020,D,1,45.7,100.0,131.4,68.46306137334582,6004.9800000000005,2876.218095238096,91.9
2024,17 RUE DES MORTEAUX,18,92.0,52858.0,2936.555555555556,920020105,Antony,48.760296,2.306185,0.9701554545454546,92002_6246_00017,E,1,26.2,100.0,173.8,112.08227311280748,4553.56,1617.0044444444443,55.1
2024,4 PARVIS DU BREUIL,83,92.0,146597.0,1766.2289156626507,920020302,Antony,48.741732,2.28177,0.9625463636363636,92002_b060_00004,B,1,83.2,0.0,96.0,21.228712928637627,7987.200000000001,6220.9710843373505,352.2
2024,42 RUE MAURICE LABROUSSE,15,92.0,93507.0,6233.8,920020101,Antony,48.755536,2.296146,0.966711818181818,92002_6193_00042,C,1,35.2,100.0,96.7,177.0965909090909,3403.8400000000006,-2829.9599999999996,-45.4
2024,36 RUE PROSPER LEGOUTE,16,92.0,63838.0,3989.875,920020401,Antony,48.746963,2.293764,0.9734463636363636,92002_7270_00036,E,1,22.8,100.0,173.5,174.99451754385964,3955.8,-34.07499999999982,-0.9
2024,51 AVENUE RAYMOND ARON,28,92.0,21296.0,760.5714285714286,920020104,Antony,48.768724,2.310813,0.9726990909090908,92002_8133_00051,G,1,20.7,0.0,507.5,36.74258109040718,10505.25,9744.67857142857,1281.2
2019,3 RUE LIOUVILLE,26,92.0,93246.0,3586.3846153846152,920040501,Asnières-sur-Seine,48.914151,2.294176,0.9633381818181816,92004_5160_00003,F,1,20.0,100.0,238.6,179.31923076923076,4772.0,1185.6153846153848,33.1
2021,3 RUE LIOUVILLE,26,92.0,78860.0,3033.076923076923,920040501,Asnières-sur-Seine,48.914151,2.294176,0.9633381818181816,92004_5160_00003,F,1,20.0,100.0,238.6,151.65384615384613,4772.0,1738.9230769230771,57.3
