lat,lon,year,dpe_class,adresse,consumption_kwh,surface_m2,num_dpe_records
48.736344,2.284967,2019,C,1 RUE DE L ANNAPURNA,1973.5625,117.7,1
48.736344,2.284967,2021,C,1 RUE DE L ANNAPURNA,2032.1875,117.7,1
48.756726,2.30404,2019,D,20 AVENUE DE LA PROVIDENCE,3991.25,45.7,1
48.756726,2.30404,2021,D,20 AVENUE DE LA PROVIDENCE,4252.142857142857,45.7,1
48.760296,2.306185,2019,E,17 RUE DES MORTEAUX,3751.8333333333335,26.2,1
48.760296,2.306185,2021,E,17 RUE DES MORTEAUX,3573.9444444444443,26.2,1
48.741732,2.28177,2019,B,4 PARVIS DU BREUIL,1924.9886363636365,83.2,1
48.736344,2.284967,2020,C,1 RUE DE L ANNAPURNA,2060.9375,117.7,1
48.741732,2.28177,2021,B,4 PARVIS DU BREUIL,1939.0,83.2,1
48.756726,2.30404,2020,D,20 AVENUE DE LA PROVIDENCE,3474.6315789473683,45.7,1
48.755536,2.296146,2019,C,42 RUE MAURICE LABROUSSE,7520.066666666667,35.2,1
48.760296,2.306185,2020,E,17 RUE DES MORTEAUX,3235.222222222222,26.2,1
48.746963,2.293764,2019,E,36 RUE PROSPER LEGOUTE,3969.529411764706,22.8,1
48.755536,2.296146,2021,C,42 RUE MAURICE LABROUSSE,8020.0,35.2,1
48.768724,2.310813,2019,G,51 AVENUE RAYMOND ARON,1076.0384615384614,20.7,1
48.741732,2.28177,2020,B,4 PARVIS DU BREUIL,1993.164705882353,83.2,1
48.746963,2.293764,2021,E,36 RUE PROSPER LEGOUTE,4540.375,22.8,1
48.768724,2.310813,2021,G,51 AVENUE RAYMOND ARON,1222.8461538461538,20.7,1
48.736344,2.284967,2022,C,1 RUE DE L ANNAPURNA,2129.625,117.7,1
48.756726,2.30404,2022,D,20 AVENUE DE LA PROVIDENCE,3450.85,45.7,1
48.736344,2.284967,2023,C,1 RUE DE L ANNAPURNA,2204.75,117.7,1
48.755536,2.296146,2020,C,42 RUE MAURICE LABROUSSE,7098.866666666667,35.2,1
48.760296,2.306185,2022,E,17 RUE DES MORTEAUX,3252.0,26.2,1
48.746963,2.293764,2020,E,36 RUE PROSPER LEGOUTE,4136.6875,22.8,1
48.768724,2.310813,2020,G,51 AVENUE RAYMOND ARON,1121.7307692307693,20.7,1
48.741732,2.28177,2022,B,4 PARVIS DU BREUIL,1764.5,83.2,1
48.756726,2.30404,2023,D,20 AVENUE DE LA PROVIDENCE,3395.45,45.7,1
48.760296,2.306185,2023,E,17 RUE DES MORTEAUX,2922.222222222222,26.2,1
48.741732,2.28177,2023,B,4 PARVIS DU BREUIL,1695.870588235294,83.2,1
48.755536,2.296146,2022,C,42 RUE MAURICE LABROUSSE,6368.6,35.2,1
48.746963,2.293764,2022,E,36 RUE PROSPER LEGOUTE,4073.0625,22.8,1
48.768724,2.310813,2022,G,51 AVENUE RAYMOND ARON,1019.925925925926,20.7,1
48.755536,2.296146,2023,C,42 RUE MAURICE LABROUSSE,6365.933333333333,35.2,1
48.746963,2.293764,2023,E,36 RUE PROSPER LEGOUTE,3843.4375,22.8,1
48.768724,2.310813,2023,G,51 AVENUE RAYMOND ARON,953.3076923076924,20.7,1
48.736344,2.284967,2024,C,1 RUE DE L ANNAPURNA,2191.5,117.7,1
48.756726,2.30404,2024,D,20 AVENUE DE LA PROVIDENCE,3128.7619047619046,45.7,1
48.760296,2.306185,2024,E,17 RUE DES MORTEAUX,2936.555555555556,26.2,1
48.741732,2.28177,2024,B,4 PARVIS DU BREUIL,1766.2289156626507,83.2,1
48.755536,2.296146,2024,C,42 RUE MAURICE LABROUSSE,6233.8,35.2,1
48.746963,2.293764,2024,E,36 RUE PROSPER LEGOUTE,3989.875,22.8,1
48.768724,2.310813,2024,G,51 AVENUE RAYMOND ARON,760.5714285714286,20.7,1
48.914151,2.294176,2019,F,3 RUE LIOUVILLE,3586.3846153846152,20.0,1
48.914151,2.294176,2021,F,3 RUE LIOUVILLE,3033.076923076923,20.0,1
48.914151,2.294176,2020,F,3 RUE LIOUVILLE,3153.653846153846,20.0,1
48.914151,2.294176,2022,F,3 RUE LIOUVILLE,2830.84,20.0,1
48.914151,2.294176,2023,F,3 RUE LIOUVILLE,3006.269230769231,20.0,1
48.914151,2.294176,2024,F,3 RUE LIOUVILLE,3155.423076923077,20.0,1
48.911389,2.257768,2019,G,19 RUE ANDRE ET MARIE LOUISE ROURE,1538.0,24.1,1
48.911389,2.257768,2021,G,19 RUE ANDRE ET MARIE LOUISE ROURE,1417.3333333333333,24.1,1
48.911389,2.257768,2020,G,19 RUE ANDRE ET MARIE LOUISE ROURE,1854.3636363636365,24.1,1
48.911389,2.257768,2022,G,19 RUE ANDRE ET MARIE LOUISE ROURE,1301.1666666666667,24.1,1
48.911389,2.257768,2023,G,19 RUE ANDRE ET MARIE LOUISE ROURE,1446.0833333333333,24.1,1
48.911389,2.257768,2024,G,19 RUE ANDRE ET MARIE LOUISE ROURE,1413.7272727272727,24.1,1
48.838056,2.234436,2019,C,76 AVENUE ANDRE MORIZET,5453.9047619047615,57.8,1
48.920215,2.239544,2019,C,109 RUE DE BELLEVUE,1167.26213592233,60.2,1
48.838991,2.242614,2019,F,6 RUE DE LA BELLE FEUILLE,2899.4666666666667,129.0,1
48.838056,2.234436,2021,C,76 AVENUE ANDRE MORIZET,6405.0,57.8,1
48.833805,2.228557,2019,E,56 RUE DE SEVRES,1762.2222222222222,80.9,1
48.834833,2.22804,2019,F,42 RUE DE SEVRES,1233.0,35.1,1
48.838056,2.234436,2020,C,76 AVENUE ANDRE MORIZET,5226.238095238095,57.8,1
48.823728,2.243815,2019,E,21 QUAI DE STALINGRAD,3617.816326530612,37.0,1
48.920215,2.239544,2021,C,109 RUE DE BELLEVUE,1076.847619047619,60.2,1
48.920215,2.239544,2020,C,109 RUE DE BELLEVUE,1145.1747572815534,60.2,1
48.838991,2.242614,2021,F,6 RUE DE LA BELLE FEUILLE,2741.366666666667,129.0,1
48.838056,2.234436,2022,C,76 AVENUE ANDRE MORIZET,7110.333333333333,57.8,1
48.828856,2.246878,2019,C,107 RUE DU POINT DU JOUR,439.0,62.8,1
48.838991,2.242614,2020,F,6 RUE DE LA BELLE FEUILLE,2899.266666666667,129.0,1
48.920215,2.239544,2022,C,109 RUE DE BELLEVUE,1018.3894736842104,60.2,1
48.833805,2.228557,2021,E,56 RUE DE SEVRES,1682.8527607361964,80.9,1
48.834833,2.22804,2021,F,42 RUE DE SEVRES,1444.8653846153843,35.1,1
48.835611,2.232722,2019,C,197 RUE GALLIENI,9013.142857142857,82.9,1
48.833805,2.228557,2020,E,56 RUE DE SEVRES,1767.441717791411,80.9,1
48.838991,2.242614,2022,F,6 RUE DE LA BELLE FEUILLE,2258.366666666667,129.0,1
48.834833,2.22804,2020,F,42 RUE DE SEVRES,1508.68,35.1,1
48.823728,2.243815,2021,E,21 QUAI DE STALINGRAD,4194.632653061224,37.0,1
48.838056,2.234436,2023,C,76 AVENUE ANDRE MORIZET,5015.136363636364,57.8,1
48.823728,2.243815,2020,E,21 QUAI DE STALINGRAD,4219.5625,37.0,1
48.832664,2.243921,2019,F,206 BOULEVARD JEAN JAURES,1406.5833333333333,31.5,1
48.845187,2.237309,2019,E,5 BOULEVARD JEAN JAURES,2685.3076923076924,49.6,1
48.833805,2.228557,2022,E,56 RUE DE SEVRES,1587.0,80.9,1
48.834833,2.22804,2022,F,42 RUE DE SEVRES,1228.48,35.1,1
48.920215,2.239544,2023,C,109 RUE DE BELLEVUE,994.6808510638298,60.2,1
48.823728,2.243815,2022,E,21 QUAI DE STALINGRAD,3851.444444444444,37.0,1
48.828856,2.246878,2021,C,107 RUE DU POINT DU JOUR,1715.5,62.8,1
48.838991,2.242614,2023,F,6 RUE DE LA BELLE FEUILLE,2026.3,129.0,1
48.828856,2.246878,2020,C,107 RUE DU POINT DU JOUR,1945.0,62.8,1
48.835611,2.232722,2021,C,197 RUE GALLIENI,9410.8,82.9,1
48.828856,2.246878,2022,C,107 RUE DU POINT DU JOUR,1645.8333333333333,62.8,1
48.833805,2.228557,2023,E,56 RUE DE SEVRES,1501.4036144578313,80.9,1
48.834833,2.22804,2023,F,42 RUE DE SEVRES,1155.76,35.1,1
48.835611,2.232722,2020,C,197 RUE GALLIENI,8853.15,82.9,1
48.845187,2.237309,2021,E,5 BOULEVARD JEAN JAURES,3502.583333333333,49.6,1
48.823728,2.243815,2023,E,21 QUAI DE STALINGRAD,3407.6521739130435,37.0,1
48.832664,2.243921,2021,F,206 BOULEVARD JEAN JAURES,1569.4166666666667,31.5,1
48.835611,2.232722,2022,C,197 RUE GALLIENI,8315.15,82.9,1
48.832664,2.243921,2020,F,206 BOULEVARD JEAN JAURES,1562.5833333333333,31.5,1
48.845187,2.237309,2020,E,5 BOULEVARD JEAN JAURES,3033.230769230769,49.6,1
48.832664,2.243921,2022,F,206 BOULEVARD JEAN JAURES,1506.9,31.5,1
